danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,name,artist,link,popularity,genres
0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/audio-analysis/2goLsvvODILDzeeiT4dAoR,239027,4,Believe,Cher,https://open.spotify.com/track/2goLsvvODILDzeeiT4dAoR,82,"dance pop, pop"
0.582,0.921,8,-2.496,1,0.0509,0.00216,0.000214,0.251,0.49,128.062,1NvSQe0i4ApmQCnBI8Jwzq,https://api.spotify.com/v1/tracks/1NvSQe0i4ApmQCnBI8Jwzq,https://api.spotify.com/v1/audio-analysis/1NvSQe0i4ApmQCnBI8Jwzq,199480,4,Malibu - Tiësto Remix,Miley Cyrus,https://open.spotify.com/track/1NvSQe0i4ApmQCnBI8Jwzq,56,"pop, big room, brostep, dutch edm, edm, house, pop dance, slap house, trance"
0.724,0.768,9,-9.799,0,0.04,0.552,0.0108,0.23,0.757,117.402,05e8HOqdlQEj4DXREtzoXk,https://api.spotify.com/v1/tracks/05e8HOqdlQEj4DXREtzoXk,https://api.spotify.com/v1/audio-analysis/05e8HOqdlQEj4DXREtzoXk,229000,4,I Will Survive - Remix,Gloria Gaynor,https://open.spotify.com/track/05e8HOqdlQEj4DXREtzoXk,36,"disco, soft rock"
0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,6Ac4NVYYl2U73QiTt11ZKd,https://api.spotify.com/v1/tracks/6Ac4NVYYl2U73QiTt11ZKd,https://api.spotify.com/v1/audio-analysis/6Ac4NVYYl2U73QiTt11ZKd,172867,4,Hooked On A Feeling,Blue Swede,https://open.spotify.com/track/6Ac4NVYYl2U73QiTt11ZKd,74,"classic swedish pop, classic swedish pop"
0.801,0.948,11,-4.623,0,0.0386,0.0117,0.457,0.025,0.968,138.489,5N6M8yDiMV32T6Rkzh8EbW,https://api.spotify.com/v1/tracks/5N6M8yDiMV32T6Rkzh8EbW,https://api.spotify.com/v1/audio-analysis/5N6M8yDiMV32T6Rkzh8EbW,202583,4,"Boom, Boom, Boom, Boom!!",Vengaboys,https://open.spotify.com/track/5N6M8yDiMV32T6Rkzh8EbW,77,"bubblegum dance, eurodance, europop"
0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/audio-analysis/2gam98EZKrF9XuOkU13ApN,242293,4,Promiscuous,Nelly Furtado,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN,87,"canadian latin, canadian pop, dance pop, pop, dance pop, pop, pop rap"
0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,302840,4,Kids,MGMT,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,80,"alternative rock, indie rock, indietronica, modern rock, rock"
0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,4wH4dJgrsxONID6KS2tDQM,https://api.spotify.com/v1/tracks/4wH4dJgrsxONID6KS2tDQM,https://api.spotify.com/v1/audio-analysis/4wH4dJgrsxONID6KS2tDQM,258893,4,Maneater,Nelly Furtado,https://open.spotify.com/track/4wH4dJgrsxONID6KS2tDQM,85,"canadian latin, canadian pop, dance pop, pop"
0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,7FAFkQQZFeNwOFzTrSDFIh,https://api.spotify.com/v1/tracks/7FAFkQQZFeNwOFzTrSDFIh,https://api.spotify.com/v1/audio-analysis/7FAFkQQZFeNwOFzTrSDFIh,195873,4,The Spins,Mac Miller,https://open.spotify.com/track/7FAFkQQZFeNwOFzTrSDFIh,84,"hip hop, pittsburgh rap, rap, australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4,Crazy In Love (feat. Jay-Z),Beyoncé,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,82,"pop, r&b, east coast hip hop, gangster rap, hip hop, pop rap, rap"
0.762,0.651,0,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,6hHc7Pks7wtBIW8Z6A0iFq,https://api.spotify.com/v1/tracks/6hHc7Pks7wtBIW8Z6A0iFq,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,449160,4,Blue Monday,New Order,https://open.spotify.com/track/6hHc7Pks7wtBIW8Z6A0iFq,75,"alternative rock, dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk"
0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4,Toxic,Britney Spears,https://open.spotify.com/track/6I9VzXrHxO9rA9A5euc8Ak,86,"dance pop, pop"
0.732,0.925,11,-4.165,0,0.051,0.0276,0.000238,0.14,0.782,127.012,6HTprulGfeFVrLLvfi3t8a,https://api.spotify.com/v1/tracks/6HTprulGfeFVrLLvfi3t8a,https://api.spotify.com/v1/audio-analysis/6HTprulGfeFVrLLvfi3t8a,195105,4,Mr. Saxobeat - Radio Edit,Alexandra Stan,https://open.spotify.com/track/6HTprulGfeFVrLLvfi3t8a,67,romanian pop
0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,6HZ9VeI5IRFCNQLXhpF4bq,https://api.spotify.com/v1/tracks/6HZ9VeI5IRFCNQLXhpF4bq,https://api.spotify.com/v1/audio-analysis/6HZ9VeI5IRFCNQLXhpF4bq,157153,4,I Love It (feat. Charli XCX),Icona Pop,https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq,74,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop, art pop, candy pop, metropopolis, pop, uk pop"
0.714,0.787,11,-6.006,1,0.033,0.0627,0.000883,0.11,0.263,127.999,65xvfgI2nNrOYHhGUzw9XP,https://api.spotify.com/v1/tracks/65xvfgI2nNrOYHhGUzw9XP,https://api.spotify.com/v1/audio-analysis/65xvfgI2nNrOYHhGUzw9XP,243537,4,Heat Waves - Oliver Heldens Remix,Glass Animals,https://open.spotify.com/track/65xvfgI2nNrOYHhGUzw9XP,56,"gauze pop, indietronica, modern rock, pov: indie, shiver pop, dutch house, edm, electro house, future house, house, pop dance, progressive electro house, progressive house"
0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,2ahnofp2LbBWDXcJbMaSTu,https://api.spotify.com/v1/tracks/2ahnofp2LbBWDXcJbMaSTu,https://api.spotify.com/v1/audio-analysis/2ahnofp2LbBWDXcJbMaSTu,270373,4,"What Is Love - 7"" Mix",Haddaway,https://open.spotify.com/track/2ahnofp2LbBWDXcJbMaSTu,75,"eurodance, europop"
0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883,4,Better Off Alone,Alice Deejay,https://open.spotify.com/track/5XVjNRubJUW0iPhhSWpLCj,80,eurodance
0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/audio-analysis/2iJuuzV8P9Yz0VSurttIV5,283400,4,Scream & Shout,will.i.am,https://open.spotify.com/track/2iJuuzV8P9Yz0VSurttIV5,81,"dance pop, pop, dance pop, pop"
0.91,0.736,5,-3.517,1,0.0495,0.266,0.0811,0.0759,0.938,121.985,2VIJ2Nt8uk3Pi3IqEwtO1y,https://api.spotify.com/v1/tracks/2VIJ2Nt8uk3Pi3IqEwtO1y,https://api.spotify.com/v1/audio-analysis/2VIJ2Nt8uk3Pi3IqEwtO1y,236588,4,Melody (1983 Club Vinyl Mix),Plustwo,https://open.spotify.com/track/2VIJ2Nt8uk3Pi3IqEwtO1y,50,italo disco
0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,44CZRkOxv7UItaAUmh8PgN,https://api.spotify.com/v1/tracks/44CZRkOxv7UItaAUmh8PgN,https://api.spotify.com/v1/audio-analysis/44CZRkOxv7UItaAUmh8PgN,323253,4,Doses & Mimosas,Cherub,https://open.spotify.com/track/44CZRkOxv7UItaAUmh8PgN,72,
0.709,0.53,10,-19.793,0,0.044,0.111,0.00621,0.0884,0.648,103.641,3nWQeWN4glGk3R9EZ7VwO5,https://api.spotify.com/v1/tracks/3nWQeWN4glGk3R9EZ7VwO5,https://api.spotify.com/v1/audio-analysis/3nWQeWN4glGk3R9EZ7VwO5,92867,4,Stayin' Alive - Edited Version,Bee Gees,https://open.spotify.com/track/3nWQeWN4glGk3R9EZ7VwO5,68,"disco, mellow gold, soft rock"
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,1Jo0Zg7XlrA6z0mFTZVdkn,https://api.spotify.com/v1/tracks/1Jo0Zg7XlrA6z0mFTZVdkn,https://api.spotify.com/v1/audio-analysis/1Jo0Zg7XlrA6z0mFTZVdkn,267080,4,Don't Stop The Music,Rihanna,https://open.spotify.com/track/1Jo0Zg7XlrA6z0mFTZVdkn,73,"barbadian pop, pop, urban contemporary"
0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,2dCmGcEOQrMQhMMS8Vj7Ca,https://api.spotify.com/v1/tracks/2dCmGcEOQrMQhMMS8Vj7Ca,https://api.spotify.com/v1/audio-analysis/2dCmGcEOQrMQhMMS8Vj7Ca,205467,4,Super Freak,Rick James,https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca,75,"disco, funk, motown, p funk, quiet storm, soul, synth funk"
0.681,0.773,5,-5.749,1,0.148,0.019,1.28e-06,0.11,0.429,119.961,00ETaeHUQ6lops3oWU1Wrt,https://api.spotify.com/v1/tracks/00ETaeHUQ6lops3oWU1Wrt,https://api.spotify.com/v1/audio-analysis/00ETaeHUQ6lops3oWU1Wrt,199008,4,Hot Stuff,Kygo,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt,67,"edm, pop, pop dance, tropical house, disco, hi-nrg, new wave pop, soft rock"
0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/audio-analysis/5tf1VVWniHgryyumXyJM7w,219043,4,Sugar (feat. Francesco Yates),Robin Schulz,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,81,"deep euro house, deep house, edm, german dance, pop dance, tropical house, canadian pop"
0.777,0.744,9,-7.42,1,0.204,0.331,0.0073,0.088,0.654,94.019,4QVWoXs0dGVqZAZT6MPNVl,https://api.spotify.com/v1/tracks/4QVWoXs0dGVqZAZT6MPNVl,https://api.spotify.com/v1/audio-analysis/4QVWoXs0dGVqZAZT6MPNVl,178369,4,Purple Hat,Sofi Tukker,https://open.spotify.com/track/4QVWoXs0dGVqZAZT6MPNVl,49,edm
0.678,0.871,6,-4.781,1,0.0342,0.0587,0.249,0.0928,0.28,117.029,3Rc2ajBMInxeNGVkMPC92Y,https://api.spotify.com/v1/tracks/3Rc2ajBMInxeNGVkMPC92Y,https://api.spotify.com/v1/audio-analysis/3Rc2ajBMInxeNGVkMPC92Y,285973,4,Dancing On My Own,Robyn,https://open.spotify.com/track/3Rc2ajBMInxeNGVkMPC92Y,57,"dance pop, electropop, neo-synthpop, scandipop, swedish electropop, swedish pop"
0.728,0.667,5,-3.548,1,0.047,0.0039,1.84e-06,0.519,0.854,122.988,1qu77eY7lzvOzZOjexU05O,https://api.spotify.com/v1/tracks/1qu77eY7lzvOzZOjexU05O,https://api.spotify.com/v1/audio-analysis/1qu77eY7lzvOzZOjexU05O,210467,4,Dangerous - Sebu Remix,Big Data,https://open.spotify.com/track/1qu77eY7lzvOzZOjexU05O,31,"metropopolis, indietronica, modern alternative rock, modern rock, rochester ny indie, shimmer pop"
0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,4Hff1IjRbLGeLgFgxvHflk,https://api.spotify.com/v1/tracks/4Hff1IjRbLGeLgFgxvHflk,https://api.spotify.com/v1/audio-analysis/4Hff1IjRbLGeLgFgxvHflk,245000,4,DARE,Gorillaz,https://open.spotify.com/track/4Hff1IjRbLGeLgFgxvHflk,78,"alternative hip hop, modern rock, rock"
0.418,0.719,5,-4.963,1,0.0312,4.19e-05,0.849,0.285,0.0396,83.004,75fKUcetc638W5uJVF3X7M,https://api.spotify.com/v1/tracks/75fKUcetc638W5uJVF3X7M,https://api.spotify.com/v1/audio-analysis/75fKUcetc638W5uJVF3X7M,276413,4,Maps,STRFKR,https://open.spotify.com/track/75fKUcetc638W5uJVF3X7M,0,"indie rock, indietronica"
0.682,0.882,0,-4.5,1,0.0543,0.00521,0.0194,0.571,0.103,174.052,1MVqeIAwhD4T44AKVkIfic,https://api.spotify.com/v1/tracks/1MVqeIAwhD4T44AKVkIfic,https://api.spotify.com/v1/audio-analysis/1MVqeIAwhD4T44AKVkIfic,222784,4,leavemealone,Fred again..,https://open.spotify.com/track/1MVqeIAwhD4T44AKVkIfic,83,"edm, house, stutter house, hip hop, rap"
0.761,0.958,6,-4.939,0,0.141,0.00923,0.00867,0.098,0.49,134.033,6kbSicgkNZI3Drcy5PIgw6,https://api.spotify.com/v1/tracks/6kbSicgkNZI3Drcy5PIgw6,https://api.spotify.com/v1/audio-analysis/6kbSicgkNZI3Drcy5PIgw6,385075,4,Admit It (u don't want 2),Fred again..,https://open.spotify.com/track/6kbSicgkNZI3Drcy5PIgw6,43,"edm, house, stutter house, experimental techno"
0.686,0.81,9,-6.409,1,0.0886,0.00316,0.012,0.166,0.422,133.957,1y1iBz1q5oH0MOa9vDhyBk,https://api.spotify.com/v1/tracks/1y1iBz1q5oH0MOa9vDhyBk,https://api.spotify.com/v1/audio-analysis/1y1iBz1q5oH0MOa9vDhyBk,213134,4,Jungle - Rico Nasty Remix,Fred again..,https://open.spotify.com/track/1y1iBz1q5oH0MOa9vDhyBk,48,"edm, house, stutter house, alternative r&b, trap queen"
0.806,0.692,11,-8.061,0,0.0469,0.000396,0.884,0.506,0.24,124.034,7zQhFZF8htxG6P7w0tVy2L,https://api.spotify.com/v1/tracks/7zQhFZF8htxG6P7w0tVy2L,https://api.spotify.com/v1/audio-analysis/7zQhFZF8htxG6P7w0tVy2L,396983,4,Crush Mood,Lone,https://open.spotify.com/track/7zQhFZF8htxG6P7w0tVy2L,23,"downtempo, future garage, intelligent dance music, lo-fi house, wonky"
0.885,0.815,1,-10.715,1,0.101,0.0116,0.722,0.105,0.776,127.993,4JRqtYN9tlHygZhNpGmSb0,https://api.spotify.com/v1/tracks/4JRqtYN9tlHygZhNpGmSb0,https://api.spotify.com/v1/audio-analysis/4JRqtYN9tlHygZhNpGmSb0,217539,4,Devil,Albin Myers,https://open.spotify.com/track/4JRqtYN9tlHygZhNpGmSb0,11,"electro house, progressive electro house"
0.745,0.975,11,-0.908,0,0.104,0.0459,0.00035,0.122,0.236,127.982,6TAS3gPMx7rURiuaM1a8aq,https://api.spotify.com/v1/tracks/6TAS3gPMx7rURiuaM1a8aq,https://api.spotify.com/v1/audio-analysis/6TAS3gPMx7rURiuaM1a8aq,174375,4,Vibrations,Ephwurd,https://open.spotify.com/track/6TAS3gPMx7rURiuaM1a8aq,38,"bass house, brostep, electro house"
0.664,0.664,11,-5.606,0,0.0623,0.0829,2.86e-06,0.293,0.449,111.866,4V9pOS5miVOLE3YRAaoOiC,https://api.spotify.com/v1/tracks/4V9pOS5miVOLE3YRAaoOiC,https://api.spotify.com/v1/audio-analysis/4V9pOS5miVOLE3YRAaoOiC,204827,4,Nowhere To Go,Hayden James,https://open.spotify.com/track/4V9pOS5miVOLE3YRAaoOiC,37,"aussietronica, gauze pop, house, la pop"
0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,124.979,2GQEM9JuHu30sGFvRYeCxz,https://api.spotify.com/v1/tracks/2GQEM9JuHu30sGFvRYeCxz,https://api.spotify.com/v1/audio-analysis/2GQEM9JuHu30sGFvRYeCxz,223480,4,Faded,ZHU,https://open.spotify.com/track/2GQEM9JuHu30sGFvRYeCxz,63,"edm, electro house"
0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974,3LGsgpx4TfxhXbr07OFKqs,https://api.spotify.com/v1/tracks/3LGsgpx4TfxhXbr07OFKqs,https://api.spotify.com/v1/audio-analysis/3LGsgpx4TfxhXbr07OFKqs,251267,4,Oblivion,Grimes,https://open.spotify.com/track/3LGsgpx4TfxhXbr07OFKqs,70,"art pop, canadian electropop, grave wave, indietronica, metropopolis, neo-synthpop"
0.94,0.378,5,-8.786,0,0.287,0.0263,0.0935,0.0777,0.162,112.013,4lhacsOEAkfReGmzFJhwm2,https://api.spotify.com/v1/tracks/4lhacsOEAkfReGmzFJhwm2,https://api.spotify.com/v1/audio-analysis/4lhacsOEAkfReGmzFJhwm2,174640,4,U KNOW ME,COBRAH,https://open.spotify.com/track/4lhacsOEAkfReGmzFJhwm2,52,"escape room, pink noise"
0.791,0.974,1,-5.696,1,0.0421,0.0172,0.434,0.0503,0.653,128.012,0q9YhUuxm8G1UatNDgBAdh,https://api.spotify.com/v1/tracks/0q9YhUuxm8G1UatNDgBAdh,https://api.spotify.com/v1/audio-analysis/0q9YhUuxm8G1UatNDgBAdh,178125,4,Frikitona,Andruss,https://open.spotify.com/track/0q9YhUuxm8G1UatNDgBAdh,51,"mexican tech house, tech house"
0.817,0.67,8,-6.315,0,0.0545,0.156,0.168,0.111,0.712,125.972,74nEGIzIefJhJ5qX7NeIAz,https://api.spotify.com/v1/tracks/74nEGIzIefJhJ5qX7NeIAz,https://api.spotify.com/v1/audio-analysis/74nEGIzIefJhJ5qX7NeIAz,183397,4,Beggin',Chris Lake,https://open.spotify.com/track/74nEGIzIefJhJ5qX7NeIAz,75,"bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, dance pop, uk dance"
0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM,299960,4,Little Dark Age,MGMT,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,82,"alternative rock, indie rock, indietronica, modern rock, rock"
0.91,0.622,9,-6.904,1,0.0799,0.0134,3.03e-06,0.0288,0.915,121.568,1QuTMyLkSxS2wI9IvKVEnG,https://api.spotify.com/v1/tracks/1QuTMyLkSxS2wI9IvKVEnG,https://api.spotify.com/v1/audio-analysis/1QuTMyLkSxS2wI9IvKVEnG,198437,4,Electric Avenue,Electric Avenue,https://open.spotify.com/track/1QuTMyLkSxS2wI9IvKVEnG,45,
0.824,0.396,2,-9.663,1,0.332,0.0323,0.00286,0.108,0.253,118.048,70kdJnm1X6eEM8DbWa8Mnc,https://api.spotify.com/v1/tracks/70kdJnm1X6eEM8DbWa8Mnc,https://api.spotify.com/v1/audio-analysis/70kdJnm1X6eEM8DbWa8Mnc,227707,4,YOU'RE THE ONE,KAYTRANADA,https://open.spotify.com/track/70kdJnm1X6eEM8DbWa8Mnc,71,"alternative r&b, escape room, indie soul, lgbtq+ hip hop, alternative r&b, lgbtq+ hip hop"
0.681,0.882,6,-7.102,1,0.17,0.00724,0.434,0.315,0.41,144.973,5V86SovFtTVACnL86GXnv8,https://api.spotify.com/v1/tracks/5V86SovFtTVACnL86GXnv8,https://api.spotify.com/v1/audio-analysis/5V86SovFtTVACnL86GXnv8,194959,4,Rave Ghost,Albin Myers,https://open.spotify.com/track/5V86SovFtTVACnL86GXnv8,4,"electro house, progressive electro house"
0.762,0.754,0,-3.425,0,0.046,0.00022,0.0665,0.146,0.715,129.026,4LjfIjS8iweFCPdKxLnEoV,https://api.spotify.com/v1/tracks/4LjfIjS8iweFCPdKxLnEoV,https://api.spotify.com/v1/audio-analysis/4LjfIjS8iweFCPdKxLnEoV,151983,4,Let Me Think About It,Ida Corr,https://open.spotify.com/track/4LjfIjS8iweFCPdKxLnEoV,71,"scandipop, dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house"
0.768,0.476,11,-12.445,0,0.0584,0.0529,0.837,0.264,0.571,120.049,0WC1gMwlE5gukRygtNw5bF,https://api.spotify.com/v1/tracks/0WC1gMwlE5gukRygtNw5bF,https://api.spotify.com/v1/audio-analysis/0WC1gMwlE5gukRygtNw5bF,173361,4,Where Is The Sun???,Blue Hawaii,https://open.spotify.com/track/0WC1gMwlE5gukRygtNw5bF,40,"chillwave, quebec indie"
0.747,0.867,0,-7.311,1,0.088,0.582,0.00413,0.114,0.684,124.015,3YgtkOxZsTuaZdL8McA1FQ,https://api.spotify.com/v1/tracks/3YgtkOxZsTuaZdL8McA1FQ,https://api.spotify.com/v1/audio-analysis/3YgtkOxZsTuaZdL8McA1FQ,220653,4,adore u,Fred again..,https://open.spotify.com/track/3YgtkOxZsTuaZdL8McA1FQ,82,"edm, house, stutter house, experimental r&b"
0.73,0.907,2,-3.72,1,0.0606,0.0921,0.114,0.23,0.249,120.968,2cSdAkzAf2T4j4aLvx4LLz,https://api.spotify.com/v1/tracks/2cSdAkzAf2T4j4aLvx4LLz,https://api.spotify.com/v1/audio-analysis/2cSdAkzAf2T4j4aLvx4LLz,111074,4,Baby Girl,Disco Lines,https://open.spotify.com/track/2cSdAkzAf2T4j4aLvx4LLz,76,stutter house
